Name,kW,pf,kVA
lub_9482,225.0,0.9,250.0
lub_9484,135.0,0.9,150.0
lub_9487,720.0,0.9,800.0
lub_9490,90.0,0.9,100.0
lub_9494,90.0,0.9,100.0
lub_9496,180.0,0.9,200.0
lub_9497,90.0,0.9,100.0
lub_9498,90.0,0.9,100.0
new_10103,90.0,0.9,100.0
new_10113,180.0,0.9,200.0
new_10126,270.0,0.9,300.0
new_10136,90.0,0.9,100.0
new_10139,90.0,0.9,100.0
new_10140,90.0,0.9,100.0
new_10142,90.0,0.9,100.0
new_10147,180.0,0.9,200.0
new_10166,90.0,0.9,100.0
new_10178,90.0,0.9,100.0
new_10183,180.0,0.9,200.0
new_10190,90.0,0.9,100.0
new_10197,180.0,0.9,200.0
new_10223,180.0,0.9,200.0
new_10224,90.0,0.9,100.0
new_10229,180.0,0.9,200.0
new_10237,180.0,0.9,200.0
new_10240,90.0,0.9,100.0
new_10241,90.0,0.9,100.0
new_10249,90.0,0.9,100.0
new_10250,90.0,0.9,100.0
san_11002,90.0,0.9,100.0
san_11003,180.0,0.9,200.0
san_11022,180.0,0.9,200.0
san_11026,180.0,0.9,200.0
san_11041,90.0,0.9,100.0
san_11047,135.0,0.9,150.0
san_11049,90.0,0.9,100.0
san_11054,180.0,0.9,200.0
san_11062,270.0,0.9,300.0
san_11093,90.0,0.9,100.0
san_11103,180.0,0.9,200.0
san_11110,90.0,0.9,100.0
san_11112,180.0,0.9,200.0
san_11118,180.0,0.9,200.0
san_11121,180.0,0.9,200.0
san_11123,180.0,0.9,200.0
san_11131,135.0,0.9,150.0
san_11152,180.0,0.9,200.0
san_11163,180.0,0.9,200.0
san_11171,90.0,0.9,100.0
san_11178,90.0,0.9,100.0
san_11182,90.0,0.9,100.0
