Component,Is_Breaker
Line.line_bag_1098_1099,0
Line.line_bag_1099_1100,0
Line.line_bag_1100_1101,0
Line.line_bag_1101_1102,0
Line.line_bag_1102_1103,0
Line.line_bag_1103_1104,0
Line.line_bag_1104_1105,0
Line.line_bag_1105_1106,0
Line.line_bag_1106_1107,0
Line.line_bag_1107_1108,0
Line.line_bag_1108_1109,0
Line.line_bag_1109_1110,0
Line.line_bag_1110_1111,0
Line.line_bag_1111_1112,0
Line.line_bag_1112_1116,0
Line.line_bag_1112_1118,0
Line.line_bag_1114_1113,0
Line.line_bag_1114_1115,0
Line.line_bag_1116_1117,0
Line.line_bag_1118_1119,0
Line.line_bag_1119_1120,0
Line.line_bag_1120_1121,0
Line.line_bag_1121_1122,0
Line.line_bag_1122_1123,0
Line.line_bag_1123_1124,0
Line.line_bag_1124_1131,0
Line.line_bag_1125_1126,0
Line.line_bag_1126_1127,0
Line.line_bag_1127_1128,0
Line.line_bag_1128_1129,0
Line.line_bag_1129_1130,0
Line.line_bag_1131_1132,0
Line.line_bag_1131_1310,0
Line.line_bag_1132_1133,0
Line.line_bag_1133_1134,0
Line.line_bag_1134_1135,0
Line.line_bag_1135_1136,0
Line.line_bag_1136_1137,0
Line.line_bag_1137_1140,0
Line.line_bag_1138_1139,0
Line.line_bag_1140_1138,0
Line.line_bag_1140_1141,0
Line.line_bag_1141_1142,0
Line.line_bag_1142_1143,0
Line.line_bag_1143_1144,0
Line.line_bag_1144_1145,0
Line.line_bag_1145_1146,0
Line.line_bag_1146_1147,0
Line.line_bag_1147_1148,0
Line.line_bag_1148_1149,0
Line.line_bag_1149_1150,0
Line.line_bag_1150_1151,0
Line.line_bag_1151_1152,0
Line.line_bag_1152_1153,0
Line.line_bag_1153_1154,0
Line.line_bag_1154_1155,0
Line.line_bag_1155_1215,0
Line.line_bag_1156_1157,0
Line.line_bag_1157_1158,0
Line.line_bag_1158_1159,0
Line.line_bag_1159_1160,0
Line.line_bag_1160_1161,0
Line.line_bag_1161_1162,0
Line.line_bag_1162_1163,0
Line.line_bag_1163_1164,0
Line.line_bag_1164_1165,0
Line.line_bag_1165_1166,0
Line.line_bag_1166_1167,0
Line.line_bag_1167_1168,0
Line.line_bag_1168_1169,0
Line.line_bag_1169_1311,0
Line.line_bag_1170_1171,0
Line.line_bag_1171_1172,0
Line.line_bag_1172_1173,0
Line.line_bag_1173_1174,0
Line.line_bag_1174_1175,0
Line.line_bag_1175_1176,0
Line.line_bag_1176_1177,0
Line.line_bag_1177_1178,0
Line.line_bag_1178_1179,0
Line.line_bag_1179_1180,0
Line.line_bag_1180_1181,0
Line.line_bag_1181_1182,0
Line.line_bag_1182_1183,0
Line.line_bag_1183_1184,0
Line.line_bag_1184_1185,0
Line.line_bag_1185_1186,0
Line.line_bag_1186_1187,0
Line.line_bag_1187_1188,0
Line.line_bag_1188_1189,0
Line.line_bag_1189_1190,0
Line.line_bag_1190_1191,0
Line.line_bag_1191_1192,0
Line.line_bag_1192_1193,0
Line.line_bag_1193_1194,0
Line.line_bag_1194_1195,0
Line.line_bag_1195_1196,0
Line.line_bag_1196_1197,0
Line.line_bag_1197_1198,0
Line.line_bag_1198_1199,0
Line.line_bag_1199_1200,0
Line.line_bag_1200_1201,0
Line.line_bag_1201_1202,0
Line.line_bag_1202_1203,0
Line.line_bag_1203_1204,0
Line.line_bag_1204_1205,0
Line.line_bag_1205_1206,0
Line.line_bag_1206_1207,0
Line.line_bag_1207_1313,0
Line.line_bag_1208_1209,0
Line.line_bag_1210_1208,0
Line.line_bag_1210_1314,0
Line.line_bag_1211_1315,0
Line.line_bag_1212_1213,0
Line.line_bag_1213_1214,0
Line.line_bag_1215_1156,0
Line.line_bag_1216_1094,0
Line.line_bag_1217_1218,0
Line.line_bag_1218_1219,0
Line.line_bag_1219_1001,0
Line.line_bag_1220_1221,0
Line.line_bag_1221_1222,0
Line.line_bag_1222_1223,0
Line.line_bag_1223_1002,0
Line.line_bag_1224_1225,0
Line.line_bag_1225_1226,0
Line.line_bag_1226_1227,0
Line.line_bag_1227_1228,0
Line.line_bag_1228_1003,0
Line.line_bag_1229_1232,0
Line.line_bag_1230_1007,0
Line.line_bag_1231_1006,0
Line.line_bag_1232_1008,0
Line.line_bag_1233_1235,0
Line.line_bag_1234_1231,0
Line.line_bag_1235_1236,0
Line.line_bag_1236_1004,0
Line.line_bag_1237_1005,0
Line.line_bag_1238_1237,0
Line.line_bag_1239_1238,0
Line.line_bag_1240_1048,0
Line.line_bag_1241_1240,0
Line.line_bag_1242_1245,0
Line.line_bag_1243_1250,0
Line.line_bag_1244_1047,0
Line.line_bag_1245_1049,0
Line.line_bag_1246_1248,0
Line.line_bag_1247_1244,0
Line.line_bag_1248_1050,0
Line.line_bag_1249_1046,0
Line.line_bag_1250_1009,0
Line.line_bag_1251_1051,0
Line.line_bag_1252_1249,0
Line.line_bag_1253_1256,0
Line.line_bag_1254_1252,0
Line.line_bag_1255_1261,0
Line.line_bag_1256_1052,0
Line.line_bag_1257_1254,0
Line.line_bag_1258_1045,0
Line.line_bag_1259_1258,0
Line.line_bag_1260_1053,0
Line.line_bag_1261_1010,0
Line.line_bag_1262_1044,0
Line.line_bag_1263_1262,0
Line.line_bag_1264_1266,0
Line.line_bag_1265_1011,0
Line.line_bag_1266_1054,0
Line.line_bag_1267_1021,0
Line.line_bag_1268_1279,0
Line.line_bag_1269_1055,0
Line.line_bag_1270_1267,0
Line.line_bag_1271_1020,0
Line.line_bag_1272_1019,0
Line.line_bag_1273_1277,0
Line.line_bag_1274_1276,0
Line.line_bag_1275_1272,0
Line.line_bag_1276_1278,0
Line.line_bag_1277_1012,0
Line.line_bag_1278_1056,0
Line.line_bag_1279_1022,0
Line.line_bag_1280_1016,0
Line.line_bag_1281_1283,0
Line.line_bag_1282_1287,0
Line.line_bag_1283_1013,0
Line.line_bag_1284_1285,0
Line.line_bag_1285_1014,0
Line.line_bag_1286_1015,0
Line.line_bag_1287_1057,0
Line.line_bag_1288_1289,0
Line.line_bag_1289_1058,0
Line.line_bag_1290_1059,0
Line.line_bag_1291_1292,0
Line.line_bag_1292_1293,0
Line.line_bag_1293_1060,0
Line.line_bag_1294_1295,0
Line.line_bag_1295_1061,0
Line.line_bag_1296_1297,0
Line.line_bag_1297_1062,0
Line.line_bag_1298_1299,0
Line.line_bag_1299_1063,0
Line.line_bag_1300_1301,0
Line.line_bag_1301_1064,0
Line.line_bag_1302_1303,0
Line.line_bag_1303_1065,0
Line.line_bag_1304_1066,0
Line.line_bag_1305_1306,0
Line.line_bag_1306_1067,0
Line.line_bag_1307_1308,0
Line.line_bag_1308_1068,0
Line.line_bag_1309_1069,0
Line.line_bag_1310_1125,0
Line.line_bag_1311_1312,0
Line.line_bag_1312_1170,0
Line.line_bag_1313_1210,0
Line.line_bag_1314_1211,0
Line.line_bag_1315_1212,0
Line.line_ban_102_2196,0
Line.line_ban_2001_2197,0
Line.line_ban_2002_2198,0
