Component,failure_rate_lambda
Load.dho_3177,0.001
Load.dho_3182,0.001
Load.dho_3189,0.001
Load.dho_3191,0.001
Load.dho_3199,0.001
Load.got_4045,0.001
Load.got_4052,0.001
Load.got_4056,0.001
Load.got_4058,0.001
Load.got_4061,0.001
Load.got_4065,0.001
Load.got_4069,0.001
Load.got_4072,0.001
Load.got_4081,0.001
Load.got_4085,0.001
Load.got_4092,0.001
Load.got_4101,0.001
Load.got_4106,0.001
Load.got_4109,0.001
Load.got_4115,0.001
Load.got_4140,0.001
Load.got_4143,0.001
Load.got_4144,0.001
Load.got_4147,0.001
Load.ich_5028,0.001
Load.ich_5032,0.001
Load.im1_6001,0.001
Load.im1_6003,0.001
Load.im1_6005,0.001
Load.im1_6007,0.001
Load.im1_6008,0.001
Load.im1_6011,0.001
Load.im1_6018,0.001
Load.im1_6035,0.001
Load.im1_6038,0.001
Load.im1_6045,0.001
Load.im1_6051,0.001
Load.im1_6073,0.001
Load.im1_6076,0.001
Load.im1_6079,0.001
Load.im1_6082,0.001
Load.im1_6083,0.001
Load.im1_6092,0.001
Load.im1_6099,0.001
Load.im1_6104,0.001
Load.im1_6109,0.001
Load.im1_6112,0.001
Load.im1_6117,0.001
Load.im1_6120,0.001
Load.im1_6123,0.001
Load.im1_6125,0.001
Load.im1_6127,0.001
Load.im1_6129,0.001
Load.im2_7062,0.001
Load.kot_8009,0.001
Load.kot_8034,0.001
Load.kot_8038,0.001
Load.kot_8080,0.001
Load.kot_8087,0.001
Load.kot_8089,0.001
Load.kot_8097,0.001
Load.kot_8103,0.001
Load.kot_8106,0.001
Load.kot_8113,0.001
Load.kot_8116,0.001
Load.kot_8123,0.001
Load.kot_8136,0.001
Load.kot_8149,0.001
Load.kot_8152,0.001
Load.kot_8160,0.001
Load.kot_8162,0.001
Load.kot_8164,0.001
Load.kot_8182,0.001
Load.kot_8193,0.001
Load.kot_8201,0.001
Load.kot_8209,0.001
Load.kot_8223,0.001
Load.kot_8225,0.001
Load.kot_8261,0.001
Load.kot_8273,0.001
Load.kot_8274,0.001
Load.kot_8293,0.001
Load.kot_8295,0.001
Load.kot_8296,0.001
Load.kot_8306,0.001
Load.kot_8310,0.001
Load.kot_8333,0.001
Load.kot_8335,0.001
Load.kot_8344,0.001
Load.kot_8355,0.001
Load.kot_8356,0.001
Load.kot_8358,0.001
Load.kot_8359,0.001
Load.lub_9002,0.001
Load.lub_9003,0.001
Load.lub_9004,0.001
Load.lub_9005,0.001
Load.lub_9007,0.001
Load.lub_9008,0.001
Load.lub_9009,0.001
Load.lub_9011,0.001
Load.lub_9013,0.001
Load.lub_9015,0.001
Load.lub_9016,0.001
Load.lub_9017,0.001
